ANode,BNode,LinkID
30683,31715,30683_31715
30683,31709,30683_31709
30684,31564,30684_31564
30684,30675,30684_30675
30685,31645,30685_31645
30685,30573,30685_30573
30686,31616,30686_31616
30686,38947,30686_38947
30686,30621,30686_30621
30687,30704,30687_30704
30687,43356,30687_43356
30688,31690,30688_31690
30688,30689,30688_30689
30689,30688,30689_30688
30689,32374,30689_32374
30690,30691,30690_30691
30690,30655,30690_30655
30691,31430,30691_31430
30691,30690,30691_30690
30692,30632,30692_30632
30692,43357,30692_43357
30693,31747,30693_31747
30693,31740,30693_31740
30694,30680,30694_30680
30694,31636,30694_31636
30695,31428,30695_31428
30695,42120,30695_42120
30695,40889,30695_40889
30696,30576,30696_30576
30696,30658,30696_30658
30697,31577,30697_31577
30697,31259,30697_31259
30698,31425,30698_31425
30698,32485,30698_32485
30699,31758,30699_31758
30699,30700,30699_30700
30700,30699,30700_30699
30700,31614,30700_31614
30701,37471,30701_37471
30701,31583,30701_31583
30701,42127,30701_42127
30702,31526,30702_31526
30702,31582,30702_31582
30703,30607,30703_30607
30703,40176,30703_40176
30703,31686,30703_31686
30704,42135,30704_42135
30704,30687,30704_30687
30705,42913,30705_42913
30705,39933,30705_39933
30705,40462,30705_40462
30706,42138,30706_42138
30706,30707,30706_30707
30707,37209,30707_37209
30707,30706,30707_30706
30707,35174,30707_35174
30707,31768,30707_31768
30708,39758,30708_39758
30708,31674,30708_31674
30709,31757,30709_31757
30709,31425,30709_31425
30710,31809,30710_31809
30710,32423,30710_32423
30711,30949,30711_30949
30711,30928,30711_30928
30712,32099,30712_32099
30712,42067,30712_42067
30713,31021,30713_31021
30713,32137,30713_32137
30714,30886,30714_30886
30714,31818,30714_31818
30715,32301,30715_32301
30715,32024,30715_32024
30716,31804,30716_31804
30716,40080,30716_40080
30716,31203,30716_31203
30717,42980,30717_42980
30717,32315,30717_32315
30718,30917,30718_30917
30718,40013,30718_40013
30718,32230,30718_32230
30719,30842,30719_30842
30719,32185,30719_32185
30720,32174,30720_32174
30720,31386,30720_31386
30721,41396,30721_41396
30721,31916,30721_31916
30722,32305,30722_32305
30722,31186,30722_31186
30723,31515,30723_31515
30723,40187,30723_40187
30724,32259,30724_32259
30724,37056,30724_37056
30724,32257,30724_32257
30725,31829,30725_31829
30725,32399,30725_32399
30726,42976,30726_42976
30726,30915,30726_30915
30727,32231,30727_32231
30727,32366,30727_32366
30728,40936,30728_40936
30728,31054,30728_31054
30728,31833,30728_31833
30729,32366,30729_32366
30729,31051,30729_31051
30729,37237,30729_37237
30730,31051,30730_31051
30730,42225,30730_42225
30730,37036,30730_37036
30731,31189,30731_31189
30731,39956,30731_39956
30731,31058,30731_31058
30732,41609,30732_41609
30732,30770,30732_30770
30733,31810,30733_31810
30733,31929,30733_31929
30734,40616,30734_40616
30734,31853,30734_31853
30734,32072,30734_32072
30735,30779,30735_30779
30735,32295,30735_32295
30736,42962,30736_42962
30736,43791,30736_43791
30736,30963,30736_30963
30737,30987,30737_30987
30737,42971,30737_42971
30738,31990,30738_31990
30738,31047,30738_31047
30739,31040,30739_31040
30739,31890,30739_31890
30739,43610,30739_43610
30740,31056,30740_31056
30740,31920,30740_31920
30741,30990,30741_30990
30741,35987,30741_35987
30741,43344,30741_43344
30742,31211,30742_31211
30742,30884,30742_30884
30743,42987,30743_42987
30743,32276,30743_32276
30744,30898,30744_30898
30744,31914,30744_31914
30745,43589,30745_43589
30745,31869,30745_31869
30745,30886,30745_30886
30746,32041,30746_32041
30746,31014,30746_31014
30747,31786,30747_31786
30747,31371,30747_31371
30748,32029,30748_32029
30748,31387,30748_31387
30749,30761,30749_30761
30749,30875,30749_30875
30749,40570,30749_40570
30750,30935,30750_30935
30750,30761,30750_30761
30751,43358,30751_43358
30751,32044,30751_32044
30752,31019,30752_31019
30752,32266,30752_32266
30753,31433,30753_31433
30754,32266,30754_32266
30754,42813,30754_42813
30755,35161,30755_35161
30755,32035,30755_32035
30755,31010,30755_31010
30756,43007,30756_43007
30756,31287,30756_31287
30757,30871,30757_30871
30757,30763,30757_30763
30758,38930,30758_38930
30758,30965,30758_30965
30758,32031,30758_32031
30759,31018,30759_31018
30759,32356,30759_32356
30760,31485,30760_31485
30760,31880,30760_31880
30761,30750,30761_30750
30761,30749,30761_30749
30762,43359,30762_43359
30762,30992,30762_30992
30763,30757,30763_30757
30763,32292,30763_32292
