Stop_ID,SATURN_Node
700000000138,51437
700000000139,52070
700000000140,50174
700000000141,51606
700000000142,51433
700000000143,51000
700000000144,50168
700000000145,50449
700000000146,51302
700000000147,50449
700000000148,50773
700000000149,50845
700000000151,50019
700000000152,50170
700000000153,51017
700000000154,50170
700000000155,50449
700000000156,50790
700000000157,51596
700000000158,51315
700000000159,51596
700000000160,50399
700000000161,51596
700000000162,50405
700000000163,50455
700000000164,50405
700000000165,50455
700000000166,51322
700000000167,50447
700000000168,51322
700000000169,50443
700000000170,50397
700000000171,50449
700000000172,50401
700000000173,50449
700000000174,50819
700000000175,51000
700000000176,50819
700000000177,50432
700000000178,50242
700000000179,51606
700000000180,50245
700000000181,51608
700000000182,50245
700000000184,50473
700000000186,50473
700000000187,52040
700000000188,50245
700000000189,50179
700000000190,51446
700000000191,50491
700000000192,51306
700000000194,51304
700000000195,51933
700000000196,50969
700000000198,50969
700000000199,51446
700000000200,51304
700000000201,50011
700000000202,51306
700000000203,50411
700000000204,50772
700000000205,50409
700000000206,50772
700000000207,50409
700000000208,51322
700000000209,50408
700000000210,51322
700000000211,50407
700000000212,51322
700000000213,51600
700000000214,50405
700000000215,50012
700000000216,50405
700000000217,50455
700000000218,50399
700000000219,50012
700000000220,51315
700000000221,51599
700000000222,50790
700000000223,50802
700000000224,50170
700000000225,50802
700000000226,50772
700000000227,51594
700000000228,51302
700000000229,51595
700000000230,51302
700000000231,51595
700000000232,51433
700000000233,51595
700000000234,50171
700000000235,51593
700000000236,51915
700000000237,51593
700000000238,72033
700000000239,51593
700000000240,72033
700000000241,51593
700000000242,50242
700000000243,51593
700000000244,50242
700000000245,51593
700000000246,50819
700000000247,51593
700000000248,50819
700000000249,51595
700000000250,50819
700000000251,51595
700000000252,50401
700000000253,51595
700000000254,31701
700000000255,51594
700000000256,50788
700000000257,50802
700000000258,50986
700000000259,50237
700000000260,50774
700000000261,51599
700000000262,50162
700000000263,51599
700000000264,50767
700000000265,51600
700000000266,51227
700000000267,50407
700000000268,51228
700000000269,50407
700000000270,51228
700000000271,50408
700000000272,50376
700000000273,50409
700000000274,50376
700000000275,50411
700000000276,50376
700000000277,50964
700000000279,51490
700000000280,50374
700000000281,51515
700000000282,50374
700000000283,51515
700000000284,50376
700000000285,51515
700000000286,50376
700000000287,51515
700000000288,50376
700000000289,51507
700000000290,51228
700000000291,50132
700000000292,51228
700000000293,51529
700000000294,50767
700000000295,52085
700000000296,50162
700000000297,51022
700000000298,50774
700000000299,51527
700000000300,50774
700000000301,50363
700000000302,50986
700000000303,51532
700000000304,50397
700000000305,50685
700000000306,50162
700000000307,50103
700000000308,50162
700000000309,51926
700000000310,50162
700000000311,52093
700000000312,51298
700000000313,50353
700000000314,51298
700000000315,52092
700000000316,51298
700000000317,51019
700000000318,50384
700000000319,51847
700000000320,51298
700000000321,52091
700000000322,51298
700000000323,50935
700000000324,51298
700000000325,50155
700000000326,50162
700000000327,31760
700000000328,50162
700000000329,51503
700000000330,51235
700000000331,51515
700000000332,51235
700000000333,50112
700000000334,50698
700000000335,50114
700000000336,50945
700000000337,50114
700000000338,50945
700000000339,50114
700000000340,50707
700000000341,50940
700000000342,50707
700000000343,50940
700000000344,50945
700000000345,50114
700000000346,50945
700000000347,50114
700000000348,50113
700000000349,50112
700000000350,50096
700000000351,52090
700000000352,50096
700000000353,50648
700000000354,50671
700000000355,50648
700000000356,50671
700000000357,50648
700000000358,51194
700000000359,50333
700000000360,50693
700000000361,50333
700000000362,51218
700000000363,50099
700000000364,50687
700000000365,50673
700000000366,50687
700000000367,51849
700000000368,51220
700000000369,50333
700000000370,50701
700000000371,50333
700000000372,50701
700000000373,51849
700000000374,50701
700000000375,50673
700000000376,50702
700000000377,50673
700000000378,50702
700000000379,50935
700000000380,50705
700000000381,50333
700000000382,51232
700000000383,50648
700000000384,51232
700000000385,50648
700000000386,50952
700000000387,51847
700000000388,50952
700000000389,50353
700000000390,50376
700000000391,51926
700000000392,50721
